GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bookstore,com.nhnacademy.bookstore.common.error.exception.bookset.category,CategoryIdNullException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.bookset.category,DuplicateCategoryNameException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.bookset.category,CannotDeactivateCategoryException,0,4,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.user.tier.enums,Tier,0,45,0,0,0,10,0,4,0,4
bookstore,com.nhnacademy.bookstore.user.member.dto.response.address,AddressUpdateResponseDto,0,9,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.user.member.dto.response.address,AddressDeleteResponseDto,0,9,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.user.member.dto.response.address,MemberAddressResponseDto,0,24,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.orderset.orderstate.service,OrderStateService,67,0,0,0,18,0,5,0,5,0
bookstore,com.nhnacademy.bookstore.user.nonmember.entity,NonMember,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.refund.enums,RefundPolicyType,15,0,0,0,3,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.review.repository,ReviewRepositoryImpl,7,409,1,3,0,53,1,5,0,4
bookstore,com.nhnacademy.bookstore.orderset.orderdetail.repository,OrderDetailRepositoryImpl,0,196,0,0,0,27,0,3,0,3
bookstore,com.nhnacademy.bookstore.paymentset.status.exception,PaymentStatusNotFoundException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.common.error.exception.orderset.orderdetail,OrderDetailNotFoundException,4,0,0,0,2,0,1,0,1,0
bookstore,com.nhnacademy.bookstore.admin.wrap.repository,WrapRepositoryImpl,0,46,0,0,0,7,0,2,0,2
bookstore,com.nhnacademy.bookstore.bookset.category.controller,CategoryController,0,89,0,0,0,22,0,11,0,11
bookstore,com.nhnacademy.bookstore.common.error.exception.user.member.status,MemberNothingToUpdateException,0,6,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.common.error.exception.user.member.status,MemberStatusNotFoundException,0,6,0,0,0,2,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.tag.controller,TagController,0,49,0,0,0,12,0,6,0,6
bookstore,com.nhnacademy.bookstore.bookset.publisher.controller,PublisherController,0,70,0,4,0,16,0,8,0,6
bookstore,com.nhnacademy.bookstore.shipment.mapper,ShipmentMapperImpl,124,0,20,0,48,0,15,0,5,0
bookstore,com.nhnacademy.bookstore.shipment.mapper,ShipmentPolicyMapperImpl,61,0,2,0,21,0,3,0,2,0
bookstore,com.nhnacademy.bookstore.shipment.mapper,CarrierMapperImpl,43,0,2,0,15,0,3,0,2,0
bookstore,com.nhnacademy.bookstore.bookset.contributor.dto.response,ContributorResponseDto,0,12,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.contributor.dto.response,ContributorNameRoleResponseDto,0,9,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.contributor.dto.response,ContributorIsActiveResponseDto,0,15,0,0,0,1,0,1,0,1
bookstore,com.nhnacademy.bookstore.bookset.contributor.dto.response,ContributorRoleResponseDto,0,9,0,0,0,1,0,1,0,1
